"","x"
"170","19:58385748"
"171","19:58385546"
"172","19:40902620"
"173","19:7810766"
"174","19:7810835"
"175","17:16256672"
"176","1:21806573"
"177","9:5073770"
"178","9:5083791"
"179","9:5070022"
"180","9:5078360"
"181","19:49850480"
"182","7:2701327"
"183","18:61326627"
"184","16:19566996"
"185","10:46998999"
"186","1:248084609"
"187","1:248084798"
"188","10:104857107"
"189","7:56087319"
"190","7:56088902"
"191","7:56087423"
"192","2:230914604"
"193","19:55673632"
"194","23:140993912"
"195","23:140993755"
"196","16:66432423"
"197","17:73244904"
"198","4:55592180"
"199","4:55599321"
"200","4:55599348"
"201","4:55599340"
"202","4:55593603"
"203","19:11143993"
"204","19:11105608"
"205","15:74328206"
"206","8:68623955"
"207","17:41244000"
"208","4:1806089"
"209","4:1806092"
"210","23:63411678"
"211","19:55147988"
"212","17:48692787"
"213","20:1592193"
"214","20:1592153"
"215","20:1592312"
"216","20:1592139"
"217","9:15569730"
"218","16:30760490"
"219","17:26692223"
"220","10:13151198"
"221","14:58666970"
"222","22:37480269"
"223","12:2794937"
"224","7:152511706"
"225","4:15067864"
"226","7:140453136"
"227","7:140453135"
"228","7:140453134"
"229","7:140481402"
"230","7:140453155"
"231","7:140453149"
"232","7:140481403"
"233","7:140453140"
"234","22:22899234"
"235","16:18806884"
"236","16:18806845"
"237","4:996204"
"238","17:56435167"
"239","7:100638279"
"240","7:100647339"
"241","7:100643292"
"242","7:100645525"
"243","7:100647652"
"244","7:100641631"
"245","19:49965173"
"246","2:148683693"
"247","17:75478481"
"248","12:52649887"
"249","7:44684943"
"250","12:56478817"
"251","12:56478854"
"252","19:9527041"
"253","3:100583662"
"254","2:207174876"
"255","3:183447844"
"256","23:3228653"
"257","7:13976995"
"258","7:13978645"
"259","15:69331232"
"260","9:5070035"
"261","14:72983718"
"262","10:89692779"
"263","10:89692905"
"264","10:89653805"
"265","10:89711899"
"266","10:89653814"
"267","16:77775751"
"268","22:30032794"
"269","5:167331539"
"270","1:152957832"
"271","9:137328351"
"272","10:115439569"
"273","19:52942354"
"274","19:52942411"
"275","1:89449298"
"276","1:89449434"
"277","1:89449029"
"278","1:89449278"
"279","17:47696432"
"280","10:123258034"
"281","10:123346116"
"282","10:123279677"
"283","4:80905990"
"284","17:37922259"
"285","17:38020419"
"286","19:16614154"
"287","15:89806721"
"288","7:64863705"
"289","6:43230970"
"290","17:16097870"
"291","5:170016782"
"292","6:18134007"
"293","10:27065976"
"294","18:9122611"
"295","17:8167591"
"296","5:837488"
"297","5:843723"
"298","15:90320146"
"299","19:14208416"
"300","22:42523636"
"301","12:121416650"
"302","20:18507119"
"303","3:142277403"
"304","3:142231080"
"305","2:43452517"
"306","16:2138305"
"307","10:90774100"
"308","19:54726347"
"309","19:54744799"
"310","19:54725930"
"311","19:54724431"
"312","19:54745497"
"313","21:44524456"
"314","23:47030582"
"315","14:75514345"
"316","12:29936515"
"317","23:123195035"
"318","15:86808051"
"319","4:147560490"
"320","1:1650787"
"321","1:1636274"
"322","1:1650832"
"323","1:144828765"
"324","1:40041482"
"325","2:202141586"
"326","21:38444863"
"327","19:17943438"
"328","2:27015961"
"329","1:10001247"
"330","13:28592642"
"331","13:28592641"
"332","13:28608260"
"333","7:87564179"
"334","9:33385828"
"335","9:33395216"
"336","5:55247875"
"337","5:55260064"
"338","16:15122751"
"339","11:4976768"
"340","2:39187190"
"341","19:33490566"
"342","1:161487805"
"343","1:161483579"
"344","7:129499738"
"345","11:63970997"
"346","7:102279621"
"347","5:145969658"
"348","7:1132016"
"349","11:17741694"
"350","3:38182641"
"351","19:1440068"
"352","16:67645345"
"353","2:168100393"
"354","2:167969127"
"355","16:3119304"
"356","13:67701834"
"357","1:201981218"
"358","3:75786355"
"359","3:75786753"
"360","3:75788109"
"361","3:75790798"
"362","3:75787486"
"363","19:3118942"
"364","8:144391930"
"365","17:58289415"
"366","9:80409488"
"367","14:92537378"
"368","7:72413443"
"369","16:84213658"
"370","1:158984570"
"371","1:27100203"
"372","7:33054388"
"373","19:49132201"
"374","19:49132198"
"375","20:1895952"
"376","9:96055149"
"377","14:31355096"
"378","16:3100095"
"379","16:1279714"
"380","19:55281315"
"381","13:32929232"
"382","13:32906729"
"383","4:153247289"
"384","4:153247288"
"385","22:20918939"
"386","2:130832444"
"387","1:143767833"
"388","3:178936091"
"389","3:178952085"
"390","3:178921553"
"391","3:178936095"
"392","3:178936074"
"393","3:178916854"
"394","3:178936082"
"395","3:178922274"
"396","3:178952074"
"397","3:178938934"
"398","3:178927980"
"399","3:178916944"
"400","3:178916726"
"401","3:178921639"
"402","19:51919446"
"403","1:155887393"
"404","10:123274794"
"405","2:218712913"
"406","5:176721198"
"407","9:21971108"
"408","9:21971127"
"409","9:21974792"
"410","9:21971017"
"411","9:21971028"
"412","9:21974684"
"413","9:21971116"
"414","6:117245850"
"415","19:41743939"
"416","18:30913152"
"417","10:43617416"
"418","10:43612226"
"419","10:43605902"
"420","10:37431050"
"421","10:37430948"
"422","4:143326330"
"423","7:151962257"
"424","7:151970758"
"425","7:151927021"
"426","7:151945101"
"427","7:151932916"
"428","7:151927026"
"429","2:25457242"
"430","2:25457243"
"431","11:49208267"
"432","11:49204790"
"433","17:40475068"
"434","17:40474420"
"435","2:228883029"
"436","19:41133179"
"437","7:37123094"
"438","8:38286811"
"439","3:179322632"
"440","22:24673016"
"441","9:65505560"
"442","16:18532238"
"443","23:66943543"
"444","23:66931463"
"445","23:66765161"
"446","7:76135134"
"447","7:76104451"
"448","8:82715474"
"449","10:114925325"
"450","7:14775824"
"451","16:46744689"
"452","4:2698183"
"453","17:7577058"
"454","17:7578508"
"455","17:7578463"
"456","17:7577557"
"457","17:7578404"
"458","17:7578503"
"459","17:7578176"
"460","17:7577139"
"461","17:7578268"
"462","17:7577505"
"463","17:7574018"
"464","17:7578556"
"465","17:7578254"
"466","17:7577568"
"467","17:7578190"
"468","17:7577550"
"469","17:7577560"
"470","17:7579316"
"471","17:7573982"
"472","17:7578427"
"473","17:7578534"
"474","17:7578469"
"475","17:7578550"
"476","17:7577068"
"477","17:7577099"
"478","17:7578461"
"479","17:7578394"
"480","17:7576927"
"481","17:7577129"
"482","17:7577536"
"483","17:7579466"
"484","17:7578466"
"485","17:7578530"
"486","17:7578542"
"487","17:7577118"
"488","17:7578253"
"489","17:7579313"
"490","12:25398284"
"491","12:25398281"
"492","12:25398285"
"493","12:25398282"
"494","12:25398266"
"495","7:150884283"
"496","11:3845156"
"497","11:46896615"
"498","7:70038772"
"499","8:145001031"
"500","2:130912720"
"501","2:97833466"
"502","2:97845612"
"503","12:132547087"
"504","10:70156591"
"505","1:153994647"
"506","17:62006798"
"507","17:62006799"
"508","16:28618446"
"509","6:124777469"
"510","17:44372956"
"511","17:44396571"
"512","10:102763428"
"513","19:55258808"
"514","2:170665015"
"515","9:69247454"
"516","7:44801429"
"517","19:21299776"
"518","5:31421465"
"519","3:125854318"
"520","17:15640815"
"521","19:58018618"
"522","2:209113112"
"523","2:209113113"
"524","18:48591918"
"525","18:48591825"
"526","8:38645233"
"527","6:117714346"
"528","9:124536644"
"529","3:57857401"
"530","3:57857390"
"531","12:11244194"
"532","16:28618237"
"533","9:135984240"
"534","10:81706324"
"535","4:153247366"
"536","4:153244092"
"537","4:153249384"
"538","4:153249385"
"539","11:1651643"
"540","9:20866974"
"541","23:66765164"
"542","23:66943552"
"543","2:99778788"
"544","20:43384935"
"545","17:78599562"
"546","17:78820374"
"547","1:108771721"
"548","6:143092794"
"549","5:140755446"
"550","5:140774176"
"551","14:20249284"
"552","11:250877"
"553","2:48030647"
"554","4:1807890"
"555","18:19100760"
"556","4:100504664"
"557","7:6859402"
"558","1:203023240"
"559","2:46707884"
"560","23:13764954"
"561","23:133551319"
"562","22:25011062"
"563","12:102517804"
"564","22:32756703"
"565","6:15496728"
"566","12:118506348"
"567","14:105246551"
"568","4:134071655"
"569","11:69466019"
"570","11:62488918"
"571","18:14543139"
"572","18:14542979"
"573","1:15386680"
"574","7:24705673"
"575","5:140052430"
"576","3:143371652"
"577","3:76045951"
"578","9:21974679"
"579","9:21971036"
"580","9:21974696"
"581","9:21971000"
"582","9:21971120"
"583","21:44515685"
"584","1:213180458"
"585","19:34228887"
"586","1:17264939"
"587","1:17275337"
"588","16:70934974"
"589","20:31022449"
"590","12:112888165"
"591","12:112888189"
"592","7:143344570"
"593","7:143339957"
"594","13:111368316"
"595","12:101368625"
"596","6:29702510"
"597","11:108151709"
"598","11:108216545"
"599","4:37863114"
"600","20:42826350"
"601","17:37880984"
"602","16:818802"
"603","19:35836530"
"604","20:29623218"
"605","20:29628245"
"606","20:29625873"
"607","20:29625941"
"608","14:94844843"
"609","5:158603804"
"610","19:41387656"
"611","19:41381647"
"612","19:41381771"
"613","3:101107654"
"614","21:39996082"
"615","21:39973752"
"616","21:40028109"
"617","21:39983251"
"618","18:53177740"
"619","1:116930037"
"620","9:33387047"
"621","1:210229137"
"622","1:242264102"
"623","4:7044380"
"624","3:187447032"
"625","4:114254274"
"626","4:114275541"
"627","7:44268436"
"628","1:145075683"
"629","8:27294606"
"630","8:27308538"
"631","16:68835786"
"632","8:141774282"
"633","1:144917829"
"634","8:110657514"
"635","15:23932103"
"636","6:31323953"
"637","5:138643569"
"638","20:57484420"
"639","20:57484421"
"640","1:154842244"
"641","16:1270349"
"642","1:7890026"
"643","19:17393504"
"644","19:17397501"
"645","1:161599693"
"646","11:11976628"
"647","6:73852236"
"648","6:131481283"
"649","16:28507445"
"650","3:129214369"
"651","10:123352317"
"652","7:148027226"
"653","22:41566531"
"654","22:41565529"
"655","22:41565575"
"656","12:20968666"
"657","15:83014132"
"658","15:83014106"
"659","1:207787753"
"660","2:29443695"
"661","2:29432664"
"662","1:21806710"
"663","1:21809014"
"664","1:21806667"
"665","3:50332697"
"666","16:67660469"
"667","11:117789342"
"668","6:29910688"
"669","6:29910693"
"670","6:29912042"
"671","6:29911306"
"672","2:227662357"
"673","16:55862824"
"674","12:125397750"
"675","1:12907285"
"676","1:12907803"
"677","1:914876"
"678","8:7717884"
"679","2:178098945"
"680","2:178098799"
"681","8:95686618"
"682","19:11107133"
"683","19:51919302"
"684","1:226252155"
"685","20:4850577"
"686","1:40229368"
"687","5:137503737"
"688","21:36252865"
"689","17:48433973"
"690","1:16894523"
"691","1:16892277"
"692","18:77096644"
"693","14:65262056"
"694","4:106155172"
"695","3:15084413"
"696","9:21971111"
"697","9:21971186"
"698","9:21971177"
"699","3:10183797"
"700","3:10183794"
"701","3:10188198"
"702","3:10191470"
"703","3:10188301"
"704","3:10183734"
"705","3:10183725"
"706","13:76415316"
"707","14:103336585"
"708","14:31858209"
"709","6:57246884"
"710","6:57467084"
"711","6:57467093"
"712","1:228432060"
"713","1:228434292"
"714","16:89806347"
"715","5:107628799"
"716","22:42523558"
"717","22:42523505"
"718","21:34948685"
"719","3:97219137"
"720","6:170871052"
"721","6:170871055"
"722","12:123186880"
"723","8:38068103"
"724","4:48559517"
"725","15:75129895"
"726","3:173919349"
"727","1:168054874"
"728","6:34212743"
"729","16:77356319"
"730","22:39441096"
"731","1:227922474"
"732","3:41266124"
"733","3:41266137"
"734","3:41266125"
"735","3:41266136"
"736","3:41266104"
"737","3:41266113"
"738","3:41266101"
"739","3:41266103"
"740","3:41266098"
"741","3:41266110"
"742","3:41266107"
"743","1:62261168"
"744","1:145296403"
"745","1:145302775"
"746","1:145299787"
"747","1:145359049"
"748","1:145319647"
"749","21:15516976"
"750","18:45368211"
"751","22:26695077"
"752","7:43752477"
"753","11:45937267"
"754","16:79245820"
"755","6:152419926"
"756","6:152382311"
"757","8:101961145"
"758","1:114191994"
"759","5:131325888"
"760","7:30634596"
"761","1:225707287"
"762","15:21051201"
"763","2:215843162"
"764","17:40474482"
"765","17:40475058"
"766","3:75790427"
"767","3:75787321"
"768","3:75788382"
"769","3:75788023"
"770","3:75787490"
"771","3:75787224"
"772","3:75787770"
"773","3:75786672"
"774","3:75787728"
"775","14:96783580"
"776","23:70339254"
"777","23:70339253"
"778","23:70339215"
"779","23:70339251"
"780","10:696237"
"781","17:4575893"
"782","17:36343973"
"783","12:888428"
"784","4:1389005"
"785","4:1388819"
"786","11:534289"
"787","11:533874"
"788","11:533875"
"789","11:534285"
"790","11:534286"
"791","1:57755933"
"792","19:44892225"
"793","19:44891043"
"794","11:534288"
"795","5:149495395"
"796","19:13054627"
"797","19:13054572"
"798","12:56676244"
"799","12:56676232"
"800","19:10271034"
"801","9:110249348"
"802","17:8053085"
"803","6:170627674"
"804","16:28877938"
"805","14:74042189"
"806","4:140811111"
"807","4:140811117"
"808","23:151092220"
"809","18:51025778"
"810","1:145281408"
"811","16:68772218"
"812","19:55147508"
"813","11:1253976"
"814","6:131987357"
"815","14:103934488"
"816","9:35906559"
"817","21:36252940"
"818","21:36171607"
"819","21:36231792"
"820","11:130780225"
"821","11:67789177"
"822","12:56492633"
"823","12:56481922"
"824","5:140182101"
"825","5:140221195"
"826","10:114912188"
"827","7:148027231"
"828","5:158630642"
"829","18:21750338"
"830","16:15802694"
"831","22:24176339"
"832","22:24134006"
"833","17:9881822"
"834","8:10467625"
"835","8:10467628"
"836","8:10470068"
"837","20:44520261"
"838","19:40392008"
"839","19:40392585"
"840","19:12222381"
"841","7:6441974"
"842","16:24183630"
"843","4:106193931"
"844","2:136872485"
"845","11:5199660"
"846","16:3119303"
"847","18:61326597"
"848","3:130733056"
"849","1:196876458"
"850","12:109831352"
"851","9:98211554"
"852","19:46289402"
"853","11:8662090"
"854","17:7158203"
"855","16:28913647"
"856","23:152087589"
"857","18:42531913"
"858","1:144866643"
"859","1:144871738"
"860","1:144854581"
"861","5:41159246"
"862","23:8138171"
"863","19:41173904"
"864","8:141628979"
"865","4:83785573"
"866","20:17639846"
"867","5:169677859"
"868","20:29628243"
"869","20:29614328"
"870","3:37067240"
"871","23:130217764"
"872","14:79933747"
"873","16:10996682"
"874","19:43382406"
"875","3:54933914"
"876","3:46501213"
"877","14:65253840"
"878","17:39211182"
"879","9:138441166"
"880","4:57333826"
"881","3:195452783"
"882","3:195453243"
"883","18:54815025"
"884","3:195507694"
"885","3:195511526"
"886","3:195515134"
"887","3:195508108"
"888","3:195515413"
"889","3:195510749"
"890","3:195506582"
"891","3:195511780"
"892","3:195511331"
"893","3:195510396"
"894","3:195507062"
"895","3:195507461"
"896","3:195506099"
"897","3:195513395"
"898","3:195509651"
"899","3:195506499"
"900","20:40222647"
"901","12:124848234"
"902","6:30558478"
"903","6:71546680"
"904","6:127837732"
"905","5:31317540"
"906","1:1575715"
"907","17:45234300"
"908","17:45234327"
"909","17:45219310"
"910","1:12819315"
"911","7:128119380"
"912","5:21751760"
"913","5:118861713"
"914","9:140918181"
"915","9:140777306"
"916","1:145281543"
"917","11:30032945"
"918","4:41621397"
"919","19:11226626"
"920","19:17746947"
"921","1:164772119"
"922","15:69325581"
"923","6:168316118"
"924","11:4159838"
"925","22:51048663"
"926","2:179528038"
"927","2:38179134"
"928","1:11852300"
"929","2:79385787"
"930","16:4511926"
"931","11:26718732"
"932","2:242179472"
"933","1:78167175"
"934","12:11183697"
"935","12:11183576"
"936","12:11183035"
"937","11:108115428"
"938","11:108114823"
"939","11:108235935"
"940","16:67970202"
"941","14:62016549"
"942","1:36935329"
"943","19:55106288"
"944","9:120004211"
"945","8:4582044"
"946","9:21968199"
"947","8:101717182"
"948","8:101733670"
"949","8:101717195"
"950","8:101717267"
"951","8:101727750"
"952","5:180041242"
"953","20:41306689"
"954","6:32610718"
"955","6:32609873"
"956","6:32610769"
"957","11:64572018"
"958","13:114523864"
"959","14:95557642"
"960","6:29910719"
"961","6:29911240"
"962","6:29912856"
"963","6:29911272"
"964","1:115258745"
"965","1:115258748"
"966","1:115256529"
"967","1:115256530"
"968","1:115258747"
"969","1:115258744"
"970","1:237024481"
"971","6:31379109"
"972","17:30372739"
"973","3:41266097"
"974","3:41266100"
"975","3:41274911"
"976","10:254992"
"977","14:53619489"
"978","22:29885576"
"979","7:117420479"
"980","21:34164059"
"981","12:121435342"
"982","12:121434639"
"983","15:22743398"
"984","15:22743086"
"985","14:32561340"
"986","5:32089082"
"987","17:17039594"
"988","1:155715641"
"989","4:144801662"
"990","19:22363615"
"991","17:36339584"
"992","14:20020201"
"993","16:30235951"
"994","9:35077441"
"995","9:21971208"
"996","17:77039835"
"997","13:103468958"
"998","11:1017858"
"999","11:1017186"
"1000","11:1017963"
"1001","11:1016722"
"1002","11:1018012"
"1003","11:1016665"
"1004","11:1018295"
"1005","11:1018483"
"1006","11:1016889"
"1007","11:1017912"
"1008","11:1017793"
"1009","11:1018042"
"1010","11:1017110"
"1011","11:1018116"
"1012","11:1016609"
"1013","11:1017325"
"1014","11:1018059"
"1015","3:49412973"
"1016","17:8296440"
"1017","11:32417914"
"1018","11:32413578"
"1019","1:112305422"
"1020","1:2615613"
"1021","4:367199"
"1022","17:73626919"
"1023","8:12287957"
"1024","6:152419923"
"1025","17:37947776"
"1026","14:31926584"
"1027","14:22102592"
"1028","19:42795827"
"1029","11:64572099"
"1030","17:10222149"
"1031","16:3535116"
"1032","1:207134032"
"1033","10:90682153"
"1034","11:128781671"
"1035","16:22545865"
"1036","15:93588289"
"1037","20:2969091"
"1038","11:5510541"
"1039","11:5345040"
"1040","19:40580552"
"1041","5:138643914"
"1042","5:138643173"
"1043","12:52699033"
"1044","5:10261966"
"1045","7:102585000"
"1046","2:26477127"
"1047","3:168833263"
"1048","3:189587091"
"1049","22:25023513"
"1050","3:25777564"
"1051","7:148508727"
"1052","7:148508728"
"1053","2:75923413"
"1054","7:100479339"
"1055","5:158636519"
"1056","5:31541532"
"1057","15:100252744"
"1058","8:145689777"
"1059","1:107786408"
"1060","22:30069363"
"1061","6:30954369"
"1062","1:144952207"
"1063","1:179087934"
"1064","3:58118700"
"1065","19:36355595"
"1066","6:31964330"
"1067","2:178098953"
"1068","2:178098944"
"1069","1:12856111"
"1070","1:12855878"
"1071","8:27277537"
"1072","8:27293865"
"1073","2:130832185"
"1074","2:185707250"
"1075","4:88537081"
"1076","4:88536901"
"1077","9:96439006"
"1078","7:55242466"
"1079","7:55259515"
"1080","7:55242467"
"1081","7:55241679"
"1082","7:55242465"
"1083","7:55266757"
"1084","7:55233043"
"1085","7:55221822"
"1086","7:55249071"
"1087","7:55251593"
"1088","7:55241707"
"1089","15:23686113"
"1090","15:74219582"
"1091","15:78913087"
"1092","1:66479362"
"1093","15:64654967"
"1094","17:21731144"
"1095","6:161469783"
"1096","12:118199095"
"1097","3:66146851"
"1098","23:153628245"
"1099","23:153629155"
"1100","13:46288145"
"1101","21:45649510"
"1102","3:52643768"
"1103","6:45390466"
"1104","12:53343209"
"1105","20:1895842"
"1106","20:1895950"
"1107","11:63657700"
"1108","23:140993875"
"1109","14:32561296"
"1110","11:121475911"
"1111","3:49395482"
"1112","9:27296746"
"1113","6:15546294"
"1114","8:12285103"
"1115","3:195508537"
"1116","3:195507412"
"1117","3:195512287"
"1118","3:195513180"
"1119","3:195510194"
"1120","3:195511945"
"1121","3:195506606"
"1122","3:195515387"
"1123","3:195510655"
"1124","3:195509676"
"1125","3:195506516"
"1126","3:195512245"
"1127","3:195510169"
"1128","3:195506522"
"1129","3:195509429"
"1130","3:195506507"
"1131","3:195505932"
"1132","3:195512004"
"1133","3:195515008"
"1134","3:195513285"
"1135","3:195518111"
"1136","3:195506303"
"1137","3:195505836"
"1138","3:195506245"
"1139","3:195507251"
"1140","3:195514524"
"1141","3:195509795"
"1142","3:195509374"
"1143","1:157548669"
"1144","3:138665163"
"1145","6:167786750"
"1146","19:17837593"
"1147","21:36231782"
"1148","21:36231773"
"1149","21:36259172"
"1150","16:9857386"
"1151","4:71347185"
"1152","5:112175390"
"1153","5:112175639"
"1154","5:112164561"
"1155","5:112173917"
"1156","5:112176325"
"1157","5:112175957"
"1158","5:112175174"
"1159","5:112175240"
"1160","5:112175682"
"1161","5:112175767"
"1162","5:112175531"
"1163","5:112175576"
"1164","5:112175348"
"1165","5:112164616"
"1166","5:112175215"
"1167","5:112181576"
"1168","5:112175684"
"1169","5:112175655"
"1170","17:15441486"
"1171","13:49027168"
"1172","13:49039374"
"1173","13:48941648"
"1174","6:150343148"
"1175","13:95858996"
"1176","12:56487277"
"1177","1:248616883"
"1178","20:33345744"
"1179","6:114292132"
"1180","15:91436548"
"1181","15:91430617"
"1182","1:11579470"
"1183","11:111953296"
"1184","12:42512830"
"1185","12:42499763"
"1186","8:103573006"
"1187","6:154412548"
"1188","15:66727455"
"1189","1:19447752"
"1190","9:37015165"
"1191","6:136590640"
"1192","6:136599822"
"1193","6:136594292"
"1194","3:48336688"
"1195","7:115594663"
"1196","6:76599866"
"1197","18:3452223"
"1198","7:34874038"
"1199","5:67589138"
"1200","7:151874156"
"1201","7:151970951"
"1202","7:151945204"
"1203","7:151970859"
"1204","7:151970797"
"1205","7:151970931"
"1206","7:151945060"
"1207","7:151970982"
"1208","20:47638977"
"1209","17:60744158"
"1210","4:84237510"
"1211","5:170837544"
"1212","5:170837547"
"1213","20:17639876"
"1214","20:17639786"
"1215","19:5222737"
"1216","1:144868170"
"1217","1:144882823"
"1218","1:144952581"
"1219","1:144931330"
"1220","1:94982589"
"1221","7:38725804"
"1222","5:422955"
"1223","12:81661915"
"1224","19:53116940"
"1225","19:23926839"
"1226","5:35875593"
"1227","1:204506107"
"1228","9:67786101"
"1229","3:38182032"
"1230","17:39346595"
"1231","17:39346518"
"1232","16:3169865"
"1233","11:64083320"
"1234","5:140263908"
"1235","16:87436663"
"1236","11:128781619"
"1237","18:44555312"
"1238","1:146395447"
"1239","3:49413009"
"1240","8:30703522"
"1241","9:8518099"
"1242","1:78428511"
"1243","12:31237978"
"1244","12:31244703"
"1245","15:88576185"
"1246","15:58985164"
"1247","11:1093411"
"1248","11:1093094"
"1249","7:73771749"
"1250","14:19553436"
"1251","14:19553567"
"1252","11:60157166"
"1253","7:14775823"
"1254","12:6857990"
"1255","16:83032484"
"1256","12:57485446"
"1257","2:169699569"
"1258","11:60776186"
"1259","8:38853269"
"1260","1:22050649"
"1261","9:115806423"
"1262","21:45649580"
"1263","22:16269934"
"1264","19:17397519"
"1265","19:17393530"
"1266","13:78320728"
"1267","6:31239378"
"1268","6:31239430"
"1269","6:31238909"
"1270","11:28134974"
"1271","2:165551304"
"1272","7:13976833"
"1273","10:96356614"
"1274","1:155874261"
"1275","11:57577603"
"1276","15:90631935"
"1277","21:30257568"
"1278","21:30250615"
"1279","3:96706525"
"1280","11:21305927"
"1281","17:18874686"
"1282","10:13696458"
"1283","8:143695144"
"1284","9:37020768"
"1285","9:137779026"
"1286","15:74336633"
"1287","12:132547090"
"1288","12:132547093"
"1289","11:113565287"
"1290","9:117838696"
"1291","13:20056686"
"1292","14:36194277"
"1293","19:11558370"
"1294","2:233348878"
"1295","19:53116949"
"1296","10:8111433"
"1297","1:1203256"
"1298","2:75901658"
"1299","16:1291318"
"1300","17:21204187"
"1301","21:45971299"
"1302","21:45970774"
"1303","6:73332249"
"1304","8:102213962"
"1305","13:24468329"
"1306","13:24465717"
"1307","1:243354791"
"1308","17:74732959"
"1309","17:78599655"
"1310","6:170070723"
"1311","16:58589346"
"1312","6:127837119"
"1313","5:176520243"
"1314","9:21971153"
"1315","10:43609948"
"1316","10:43610119"
"1317","10:43605860"
"1318","12:111311667"
"1319","10:70645376"
"1320","13:103528002"
"1321","2:229909688"
"1322","8:48805815"
"1323","2:219449406"
"1324","14:105412541"
"1325","14:105412009"
"1326","12:66531946"
"1327","23:135431358"
"1328","18:9122638"
"1329","9:33798596"
"1330","9:33798042"
"1331","9:33797951"
"1332","17:34797608"
"1333","1:27099947"
"1334","5:878525"
"1335","5:878576"
"1336","8:4357649"
"1337","8:3216752"
"1338","11:66254085"
"1339","14:94582133"
"1340","2:71839803"
"1341","4:113570761"
"1342","20:15804902"
"1343","7:75651324"
"1344","12:133253184"
"1345","12:133250289"
"1346","17:37881002"
"1347","17:37880220"
"1348","1:36933434"
"1349","7:114270000"
"1350","17:39595484"
"1351","19:11144113"
"1352","19:11129655"
"1353","1:12888363"
"1354","1:228456147"
"1355","5:112128143"
"1356","5:112151204"
"1357","5:112175225"
"1358","5:112175480"
"1359","5:112174268"
"1360","5:112175507"
"1361","5:112162891"
"1362","5:112164586"
"1363","5:112151261"
"1364","5:112116592"
